,precision,recall,f1-score,support
BENIGN,0.8333333333333334,0.23809523809523808,0.37037037037037035,21.0
Bot,0.7,1.0,0.8235294117647058,14.0
Brute Force,0.6666666666666666,0.9565217391304348,0.7857142857142857,23.0
DDoS,0.7307692307692307,0.9047619047619048,0.8085106382978723,21.0
DoS,1.0,0.65,0.7878787878787878,20.0
DrDoS_DNS,0.5454545454545454,0.3333333333333333,0.41379310344827586,18.0
DrDoS_LDAP,0.65,0.5416666666666666,0.5909090909090909,24.0
DrDoS_MSSQL,0.5555555555555556,0.9375,0.6976744186046512,16.0
DrDoS_NTP,0.7,1.0,0.8235294117647058,14.0
DrDoS_NetBIOS,0.7857142857142857,0.5789473684210527,0.6666666666666666,19.0
DrDoS_SNMP,0.6666666666666666,0.9411764705882353,0.7804878048780488,17.0
DrDoS_SSDP,0.9444444444444444,1.0,0.9714285714285714,17.0
DrDoS_UDP,1.0,1.0,1.0,14.0
Infiltration,1.0,0.55,0.7096774193548387,20.0
LDAP,0.7894736842105263,0.8333333333333334,0.8108108108108109,18.0
MSSQL,0.9565217391304348,0.7586206896551724,0.8461538461538461,29.0
NetBIOS,1.0,0.8333333333333334,0.9090909090909091,24.0
Port Scan,0.8421052631578947,1.0,0.9142857142857143,16.0
Syn,0.7647058823529411,1.0,0.8666666666666667,26.0
TFTP,1.0,0.9642857142857143,0.9818181818181818,28.0
UDP,1.0,1.0,1.0,14.0
UDP-lag,1.0,1.0,1.0,27.0
Web Attack,1.0,1.0,1.0,20.0
accuracy,0.8195652173913044,0.8195652173913044,0.8195652173913044,0.8195652173913044
macro avg,0.8318004911937621,0.8270250344175835,0.8069128743437826,460.0
weighted avg,0.8406732871875935,0.8195652173913044,0.8080088239935621,460.0
