,BENIGN,Bot,Brute Force,DDoS,DoS,DrDoS_DNS,DrDoS_LDAP,DrDoS_MSSQL,DrDoS_NTP,DrDoS_NetBIOS,DrDoS_SNMP,DrDoS_SSDP,DrDoS_UDP,Infiltration,LDAP,MSSQL,NetBIOS,Port Scan,Syn,TFTP,UDP,UDP-lag,Web Attack
BENIGN,5,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bot,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS,1,0,2,2,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_DNS,0,0,0,0,0,6,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_LDAP,0,0,0,0,0,3,13,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_MSSQL,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NTP,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NetBIOS,0,0,0,0,0,0,0,4,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_SNMP,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0
DrDoS_SSDP,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
DrDoS_UDP,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
Infiltration,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,3,4,0,0,0,0
LDAP,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,1,0,0,0,0,0,0,0
MSSQL,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0
NetBIOS,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,20,0,2,0,0,0,0
Port Scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
Syn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
TFTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0
UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
UDP-lag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
Web Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
