,precision,recall,f1-score,support
BENIGN,0.9411764705882353,0.7619047619047619,0.8421052631578947,21.0
Bot,1.0,1.0,1.0,14.0
Brute Force,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
DDoS,1.0,0.9523809523809523,0.975609756097561,21.0
DoS,0.95,0.95,0.95,20.0
DrDoS_DNS,0.9473684210526315,1.0,0.972972972972973,18.0
DrDoS_LDAP,1.0,0.8333333333333334,0.9090909090909091,24.0
DrDoS_MSSQL,0.8888888888888888,1.0,0.9411764705882353,16.0
DrDoS_NTP,1.0,1.0,1.0,14.0
DrDoS_NetBIOS,0.8636363636363636,1.0,0.926829268292683,19.0
DrDoS_SNMP,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
DrDoS_SSDP,1.0,1.0,1.0,17.0
DrDoS_UDP,1.0,1.0,1.0,14.0
Infiltration,0.9523809523809523,1.0,0.975609756097561,20.0
LDAP,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
MSSQL,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
NetBIOS,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
Port Scan,1.0,1.0,1.0,16.0
Syn,0.9285714285714286,1.0,0.9629629629629629,26.0
TFTP,1.0,0.9642857142857143,0.9818181818181818,28.0
UDP,1.0,1.0,1.0,14.0
UDP-lag,1.0,1.0,1.0,27.0
Web Attack,1.0,1.0,1.0,20.0
accuracy,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
macro avg,0.9601489963449851,0.9616202524727163,0.9594345102184001,460.0
weighted avg,0.9587534590664217,0.9565217391304348,0.9560740527521548,460.0
