,precision,recall,f1-score,support
BENIGN,0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0
Bot,1.0,1.0,1.0,14.0
Brute Force,0.8148148148148148,0.9565217391304348,0.88,23.0
DDoS,1.0,0.9523809523809523,0.975609756097561,21.0
DoS,1.0,0.95,0.9743589743589743,20.0
DrDoS_DNS,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
DrDoS_LDAP,1.0,0.8333333333333334,0.9090909090909091,24.0
DrDoS_MSSQL,0.8,1.0,0.8888888888888888,16.0
DrDoS_NTP,1.0,1.0,1.0,14.0
DrDoS_NetBIOS,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
DrDoS_SNMP,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
DrDoS_SSDP,0.9444444444444444,1.0,0.9714285714285714,17.0
DrDoS_UDP,1.0,1.0,1.0,14.0
Infiltration,1.0,1.0,1.0,20.0
LDAP,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
MSSQL,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
NetBIOS,1.0,0.9583333333333334,0.9787234042553191,24.0
Port Scan,1.0,1.0,1.0,16.0
Syn,0.9629629629629629,1.0,0.9811320754716981,26.0
TFTP,1.0,0.9642857142857143,0.9818181818181818,28.0
UDP,1.0,1.0,1.0,14.0
UDP-lag,1.0,1.0,1.0,27.0
Web Attack,1.0,1.0,1.0,20.0
accuracy,0.9586956521739131,0.9586956521739131,0.9586956521739131,0.9586956521739131
macro avg,0.9610738490403921,0.9615086228238816,0.9597796030935776,460.0
weighted avg,0.9622336638698193,0.9586956521739131,0.9589346267951487,460.0
