,precision,recall,f1-score,support
BENIGN,0.8181818181818182,0.42857142857142855,0.5625,21.0
Bot,0.6086956521739131,1.0,0.7567567567567568,14.0
Brute Force,0.7142857142857143,0.8695652173913043,0.7843137254901961,23.0
DDoS,1.0,0.6190476190476191,0.7647058823529411,21.0
DoS,0.8095238095238095,0.85,0.8292682926829268,20.0
DrDoS_DNS,0.2727272727272727,0.6666666666666666,0.3870967741935484,18.0
DrDoS_LDAP,0.5,0.125,0.2,24.0
DrDoS_MSSQL,0.5625,0.5625,0.5625,16.0
DrDoS_NTP,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
DrDoS_NetBIOS,0.5555555555555556,0.2631578947368421,0.35714285714285715,19.0
DrDoS_SNMP,1.0,0.23529411764705882,0.38095238095238093,17.0
DrDoS_SSDP,0.0,0.0,0.0,17.0
DrDoS_UDP,0.4117647058823529,1.0,0.5833333333333334,14.0
Infiltration,0.7619047619047619,0.8,0.7804878048780488,20.0
LDAP,0.46153846153846156,0.3333333333333333,0.3870967741935484,18.0
MSSQL,0.85,0.5862068965517241,0.6938775510204082,29.0
NetBIOS,0.4411764705882353,0.625,0.5172413793103449,24.0
Port Scan,0.9411764705882353,1.0,0.9696969696969697,16.0
Syn,0.8235294117647058,0.5384615384615384,0.6511627906976745,26.0
TFTP,0.0,0.0,0.0,28.0
UDP,0.23333333333333334,1.0,0.3783783783783784,14.0
UDP-lag,0.5714285714285714,0.5925925925925926,0.5818181818181818,27.0
Web Attack,0.9523809523809523,1.0,0.975609756097561,20.0
accuracy,0.5804347826086956,0.5804347826086956,0.5804347826086956,0.5804347826086956
macro avg,0.6154943316749723,0.6097377710248494,0.5652387527449558,460.0
weighted avg,0.6167016496297604,0.5804347826086956,0.5563396623557418,460.0
