,precision,recall,f1-score,support
BENIGN,1.0,0.2916666666666667,0.45161290322580644,24.0
Bot,0.6774193548387096,1.0,0.8076923076923077,21.0
Brute Force,0.6666666666666666,1.0,0.8,22.0
DDoS,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
DoS,0.9166666666666666,0.4583333333333333,0.6111111111111112,24.0
DrDoS_DNS,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
DrDoS_LDAP,1.0,0.6296296296296297,0.7727272727272727,27.0
DrDoS_MSSQL,0.5483870967741935,0.6538461538461539,0.5964912280701754,26.0
DrDoS_NTP,0.6129032258064516,0.95,0.7450980392156863,20.0
DrDoS_NetBIOS,0.5,0.2916666666666667,0.3684210526315789,24.0
DrDoS_SNMP,0.6296296296296297,0.7391304347826086,0.68,23.0
DrDoS_SSDP,1.0,1.0,1.0,16.0
DrDoS_UDP,1.0,1.0,1.0,15.0
Exploits,0.53125,0.8095238095238095,0.6415094339622641,21.0
Fuzzers,0.5,0.6956521739130435,0.5818181818181818,23.0
Generic,1.0,0.30434782608695654,0.4666666666666667,23.0
Infiltration,0.9166666666666666,0.55,0.6875,20.0
LDAP,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
MSSQL,0.4482758620689655,0.7647058823529411,0.5652173913043478,17.0
NetBIOS,0.9090909090909091,0.5555555555555556,0.6896551724137931,18.0
Port Scan,0.84,1.0,0.9130434782608695,21.0
Reconnaissance,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
Shellcode,0.6818181818181818,0.8333333333333334,0.75,18.0
Syn,0.6086956521739131,0.875,0.717948717948718,16.0
TFTP,0.9,1.0,0.9473684210526315,18.0
UDP,1.0,1.0,1.0,19.0
UDP-lag,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Web Attack,1.0,0.8571428571428571,0.9230769230769231,21.0
accuracy,0.7392857142857143,0.7392857142857143,0.7392857142857143,0.7392857142857143
macro avg,0.7915677915111932,0.7575680062572644,0.7435596895117985,560.0
weighted avg,0.7883589872819748,0.7392857142857143,0.7293844340225596,560.0
