,precision,recall,f1-score,support
BENIGN,0.9473684210526315,0.75,0.8372093023255814,24.0
Bot,1.0,1.0,1.0,21.0
Brute Force,0.7586206896551724,1.0,0.8627450980392157,22.0
DDoS,1.0,1.0,1.0,13.0
DoS,0.9545454545454546,0.875,0.9130434782608695,24.0
DrDoS_DNS,1.0,0.8,0.8888888888888888,15.0
DrDoS_LDAP,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
DrDoS_MSSQL,0.8125,1.0,0.896551724137931,26.0
DrDoS_NTP,1.0,1.0,1.0,20.0
DrDoS_NetBIOS,0.8947368421052632,0.7083333333333334,0.7906976744186046,24.0
DrDoS_SNMP,0.95,0.8260869565217391,0.8837209302325582,23.0
DrDoS_SSDP,1.0,1.0,1.0,16.0
DrDoS_UDP,1.0,1.0,1.0,15.0
Exploits,1.0,0.9523809523809523,0.975609756097561,21.0
Fuzzers,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
Generic,0.875,0.9130434782608695,0.8936170212765957,23.0
Infiltration,0.9523809523809523,1.0,0.975609756097561,20.0
LDAP,0.8333333333333334,1.0,0.9090909090909091,15.0
MSSQL,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
NetBIOS,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
Port Scan,1.0,1.0,1.0,21.0
Reconnaissance,1.0,1.0,1.0,22.0
Shellcode,1.0,0.9444444444444444,0.9714285714285714,18.0
Syn,1.0,1.0,1.0,16.0
TFTP,1.0,1.0,1.0,18.0
UDP,1.0,1.0,1.0,19.0
UDP-lag,1.0,1.0,1.0,18.0
Web Attack,1.0,1.0,1.0,21.0
accuracy,0.9446428571428571,0.9446428571428571,0.9446428571428571,0.9446428571428571
macro avg,0.9535532919095775,0.9490855279309791,0.9485815994423923,560.0
weighted avg,0.949345684239708,0.9446428571428571,0.944063473772331,560.0
