,precision,recall,f1-score,support
BENIGN,0.9545454545454546,0.875,0.9130434782608695,24.0
Bot,1.0,1.0,1.0,21.0
Brute Force,0.7857142857142857,1.0,0.88,22.0
DDoS,1.0,1.0,1.0,13.0
DoS,0.9545454545454546,0.875,0.9130434782608695,24.0
DrDoS_DNS,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
DrDoS_LDAP,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
DrDoS_MSSQL,0.8125,1.0,0.896551724137931,26.0
DrDoS_NTP,1.0,1.0,1.0,20.0
DrDoS_NetBIOS,0.9,0.75,0.8181818181818182,24.0
DrDoS_SNMP,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
DrDoS_SSDP,1.0,1.0,1.0,16.0
DrDoS_UDP,1.0,1.0,1.0,15.0
Exploits,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
Fuzzers,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
Generic,0.84,0.9130434782608695,0.875,23.0
Infiltration,0.9523809523809523,1.0,0.975609756097561,20.0
LDAP,0.9375,1.0,0.967741935483871,15.0
MSSQL,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
NetBIOS,1.0,0.9444444444444444,0.9714285714285714,18.0
Port Scan,1.0,1.0,1.0,21.0
Reconnaissance,1.0,1.0,1.0,22.0
Shellcode,1.0,1.0,1.0,18.0
Syn,1.0,1.0,1.0,16.0
TFTP,1.0,1.0,1.0,18.0
UDP,1.0,1.0,1.0,19.0
UDP-lag,1.0,1.0,1.0,18.0
Web Attack,1.0,1.0,1.0,21.0
accuracy,0.95,0.95,0.95,0.95
macro avg,0.9576833965909596,0.9530882884554787,0.9535756350278669,560.0
weighted avg,0.9532473910018553,0.95,0.9496647105371413,560.0
