,precision,recall,f1-score,support
BENIGN,0.47368421052631576,0.375,0.4186046511627907,24.0
Bot,0.7272727272727273,0.38095238095238093,0.5,21.0
Brute Force,0.45,0.4090909090909091,0.42857142857142855,22.0
DDoS,0.2,0.7692307692307693,0.31746031746031744,13.0
DoS,0.8888888888888888,0.3333333333333333,0.48484848484848486,24.0
DrDoS_DNS,0.23076923076923078,0.4,0.2926829268292683,15.0
DrDoS_LDAP,0.5714285714285714,0.14814814814814814,0.23529411764705882,27.0
DrDoS_MSSQL,0.0,0.0,0.0,26.0
DrDoS_NTP,0.782608695652174,0.9,0.8372093023255814,20.0
DrDoS_NetBIOS,0.3,0.5,0.375,24.0
DrDoS_SNMP,0.75,0.5217391304347826,0.6153846153846154,23.0
DrDoS_SSDP,0.05555555555555555,0.0625,0.058823529411764705,16.0
DrDoS_UDP,0.45454545454545453,1.0,0.625,15.0
Exploits,0.43902439024390244,0.8571428571428571,0.5806451612903226,21.0
Fuzzers,0.5833333333333334,0.6086956521739131,0.5957446808510638,23.0
Generic,0.6666666666666666,0.08695652173913043,0.15384615384615385,23.0
Infiltration,0.8888888888888888,0.8,0.8421052631578947,20.0
LDAP,0.5714285714285714,0.26666666666666666,0.36363636363636365,15.0
MSSQL,0.3783783783783784,0.8235294117647058,0.5185185185185185,17.0
NetBIOS,1.0,0.16666666666666666,0.2857142857142857,18.0
Port Scan,0.9130434782608695,1.0,0.9545454545454546,21.0
Reconnaissance,0.5384615384615384,0.9545454545454546,0.6885245901639344,22.0
Shellcode,0.0,0.0,0.0,18.0
Syn,0.9,0.5625,0.6923076923076923,16.0
TFTP,0.3333333333333333,0.1111111111111111,0.16666666666666666,18.0
UDP,0.6666666666666666,0.10526315789473684,0.18181818181818182,19.0
UDP-lag,0.2830188679245283,0.8333333333333334,0.4225352112676056,18.0
Web Attack,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
accuracy,0.4875,0.4875,0.4875,0.4875
macro avg,0.5356920857359482,0.49745665916463755,0.44956673392165714,560.0
weighted avg,0.5448322505796737,0.4875,0.4512756833813151,560.0
