,BENIGN,Bot,Brute Force,DDoS,DoS,DrDoS_DNS,DrDoS_LDAP,DrDoS_MSSQL,DrDoS_NTP,DrDoS_NetBIOS,DrDoS_SNMP,DrDoS_SSDP,DrDoS_UDP,Exploits,Fuzzers,Generic,Infiltration,LDAP,MSSQL,NetBIOS,Port Scan,Reconnaissance,Shellcode,Syn,TFTP,UDP,UDP-lag,Web Attack
BENIGN,9,0,4,8,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bot,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force,8,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS,2,0,2,11,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_DNS,0,0,0,3,1,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_LDAP,0,0,0,0,0,16,4,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_MSSQL,0,0,0,0,0,4,1,0,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NTP,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NetBIOS,0,0,2,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_SNMP,0,0,0,0,0,0,0,0,0,7,12,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DrDoS_SSDP,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_UDP,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploits,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuzzers,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,1,0,0,0,0,0,0,0,0,0
Generic,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0
Infiltration,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0
LDAP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0
MSSQL,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0
NetBIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,1,2,0,0,2,0,0,0
Port Scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
Reconnaissance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0
Shellcode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0
Syn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0
TFTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0
UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,0
UDP-lag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,1
Web Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
