,precision,recall,f1-score,support
BENIGN,0.9444444444444444,0.7083333333333334,0.8095238095238095,24.0
Bot,0.9130434782608695,1.0,0.9545454545454546,21.0
Brute Force,0.7857142857142857,1.0,0.88,22.0
DDoS,0.9285714285714286,1.0,0.9629629629629629,13.0
DoS,0.9545454545454546,0.875,0.9130434782608695,24.0
DrDoS_DNS,1.0,0.8,0.8888888888888888,15.0
DrDoS_LDAP,0.9285714285714286,0.9629629629629629,0.9454545454545454,27.0
DrDoS_MSSQL,0.8064516129032258,0.9615384615384616,0.8771929824561403,26.0
DrDoS_NTP,1.0,1.0,1.0,20.0
DrDoS_NetBIOS,0.7727272727272727,0.7083333333333334,0.7391304347826086,24.0
DrDoS_SNMP,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
DrDoS_SSDP,1.0,1.0,1.0,16.0
DrDoS_UDP,1.0,1.0,1.0,15.0
Exploits,1.0,1.0,1.0,21.0
Fuzzers,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
Generic,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
Infiltration,1.0,0.9,0.9473684210526315,20.0
LDAP,0.8823529411764706,1.0,0.9375,15.0
MSSQL,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
NetBIOS,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
Port Scan,0.95,0.9047619047619048,0.926829268292683,21.0
Reconnaissance,1.0,0.9545454545454546,0.9767441860465116,22.0
Shellcode,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Syn,0.8888888888888888,1.0,0.9411764705882353,16.0
TFTP,1.0,1.0,1.0,18.0
UDP,1.0,1.0,1.0,19.0
UDP-lag,1.0,1.0,1.0,18.0
Web Attack,1.0,1.0,1.0,21.0
accuracy,0.9321428571428572,0.9321428571428572,0.9321428571428572,0.9321428571428572
macro avg,0.9394338629242337,0.9373441938682164,0.9360025817073063,560.0
weighted avg,0.9355508547823906,0.9321428571428572,0.9313508161630787,560.0
