,precision,recall,f1-score,support
BENIGN,0.9411764705882353,0.7619047619047619,0.8421052631578947,21.0
Bot,1.0,1.0,1.0,14.0
Brute Force,0.8148148148148148,0.9565217391304348,0.88,23.0
DDoS,1.0,0.9523809523809523,0.975609756097561,21.0
DoS,1.0,0.95,0.9743589743589743,20.0
DrDoS_DNS,0.9473684210526315,1.0,0.972972972972973,18.0
DrDoS_LDAP,1.0,0.875,0.9333333333333333,24.0
DrDoS_MSSQL,0.9375,0.9375,0.9375,16.0
DrDoS_NTP,1.0,1.0,1.0,14.0
DrDoS_NetBIOS,0.9047619047619048,1.0,0.95,19.0
DrDoS_SNMP,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
DrDoS_SSDP,0.9444444444444444,1.0,0.9714285714285714,17.0
DrDoS_UDP,1.0,1.0,1.0,14.0
Infiltration,0.9523809523809523,1.0,0.975609756097561,20.0
LDAP,1.0,0.9444444444444444,0.9714285714285714,18.0
MSSQL,0.9666666666666667,1.0,0.9830508474576272,29.0
NetBIOS,1.0,0.9583333333333334,0.9787234042553191,24.0
Port Scan,1.0,1.0,1.0,16.0
Syn,0.9629629629629629,1.0,0.9811320754716981,26.0
TFTP,1.0,0.9642857142857143,0.9818181818181818,28.0
UDP,1.0,1.0,1.0,14.0
UDP-lag,0.9642857142857143,1.0,0.9818181818181818,27.0
Web Attack,1.0,1.0,1.0,20.0
accuracy,0.9652173913043478,0.9652173913043478,0.9652173913043478,0.9652173913043478
macro avg,0.9685886444585461,0.9670238006986034,0.9666115808819427,460.0
weighted avg,0.9672995948951663,0.9652173913043478,0.9649612473210256,460.0
