,precision,recall,f1-score,support
BENIGN,1.0,0.6666666666666666,0.8,21.0
Bot,0.8518518518518519,1.0,0.92,23.0
Brute Force,0.8333333333333334,1.0,0.9090909090909091,20.0
DDoS,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
DoS,0.8,0.8421052631578947,0.8205128205128205,19.0
Infiltration,0.7692307692307693,0.5,0.6060606060606061,20.0
Port Scan,0.7619047619047619,1.0,0.8648648648648649,16.0
Web Attack,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
accuracy,0.85625,0.85625,0.85625,0.85625
macro avg,0.8555657305657307,0.8579086605402395,0.8450596438852783,160.0
weighted avg,0.8633076414326414,0.85625,0.8482127123859394,160.0
