,BENIGN,Bot,Brute Force,DDoS,DoS,Exploits,Fuzzers,Generic,Infiltration,Port Scan,Reconnaissance,Shellcode,Web Attack
BENIGN,14,1,0,0,0,0,0,0,0,0,0,0,0
Bot,0,25,0,0,0,0,0,0,0,0,0,0,0
Brute Force,0,0,17,5,0,0,0,0,0,0,0,0,0
DDoS,0,0,2,16,0,0,0,0,0,0,0,0,0
DoS,0,0,2,0,14,0,0,0,0,0,0,0,0
Exploits,0,0,0,0,0,14,6,1,0,0,0,0,0
Fuzzers,0,0,0,0,1,0,21,1,0,0,0,0,0
Generic,0,0,0,0,0,0,6,14,1,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,10,7,0,0,4
Port Scan,0,0,0,0,0,0,0,0,0,17,0,0,1
Reconnaissance,0,0,0,0,0,0,0,0,0,0,9,13,0
Shellcode,0,0,0,0,0,0,0,1,0,0,5,8,1
Web Attack,0,0,0,0,0,0,0,0,0,0,0,0,23
