,BENIGN,Bot,Brute Force,DDoS,DoS,Exploits,Fuzzers,Generic,Infiltration,Port Scan,Reconnaissance,Shellcode,Web Attack
BENIGN,14,0,0,0,1,0,0,0,0,0,0,0,0
Bot,0,25,0,0,0,0,0,0,0,0,0,0,0
Brute Force,0,0,22,0,0,0,0,0,0,0,0,0,0
DDoS,0,0,0,18,0,0,0,0,0,0,0,0,0
DoS,0,0,2,0,14,0,0,0,0,0,0,0,0
Exploits,0,0,0,0,0,20,1,0,0,0,0,0,0
Fuzzers,0,0,0,0,0,0,23,0,0,0,0,0,0
Generic,0,0,0,0,0,0,1,20,0,0,0,0,0
Infiltration,0,0,1,0,0,0,0,0,20,0,0,0,0
Port Scan,0,0,0,0,0,0,0,0,1,17,0,0,0
Reconnaissance,0,0,0,0,0,0,0,0,0,0,22,0,0
Shellcode,0,0,0,0,0,0,0,0,0,0,0,15,0
Web Attack,0,0,0,0,0,0,0,0,0,0,0,0,23
