,precision,recall,f1-score,support
BENIGN,1.0,0.5789473684210527,0.7333333333333333,19.0
Bot,0.75,0.9230769230769231,0.8275862068965517,13.0
Brute Force,0.8333333333333334,0.9375,0.8823529411764706,16.0
DDoS,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
DoS,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
DrDoS_DNS,0.7272727272727273,0.42105263157894735,0.5333333333333333,19.0
DrDoS_LDAP,0.5652173913043478,0.8666666666666667,0.6842105263157895,15.0
DrDoS_MSSQL,0.68,0.9444444444444444,0.7906976744186046,18.0
DrDoS_NTP,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
DrDoS_NetBIOS,0.7857142857142857,0.5789473684210527,0.6666666666666666,19.0
DrDoS_SNMP,0.85,0.8947368421052632,0.8717948717948718,19.0
DrDoS_SSDP,0.9130434782608695,1.0,0.9545454545454546,21.0
DrDoS_UDP,1.0,0.9,0.9473684210526315,20.0
LDAP,0.7727272727272727,0.85,0.8095238095238095,20.0
MSSQL,0.8666666666666667,0.6842105263157895,0.7647058823529411,19.0
NetBIOS,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
Port Scan,0.96,0.96,0.96,25.0
Syn,0.7692307692307693,0.8695652173913043,0.8163265306122449,23.0
TFTP,1.0,0.8260869565217391,0.9047619047619048,23.0
UDP,0.9,1.0,0.9473684210526315,27.0
UDP-lag,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
Web Attack,0.95,0.95,0.95,20.0
accuracy,0.8363636363636363,0.8363636363636363,0.8363636363636363,0.8363636363636363
macro avg,0.8387514817259735,0.832480073563833,0.8260864841499264,440.0
weighted avg,0.8472404097878407,0.8363636363636363,0.8330593454179592,440.0
