,BENIGN,Bot,Brute Force,DDoS,DoS,DrDoS_DNS,DrDoS_LDAP,DrDoS_MSSQL,DrDoS_NTP,DrDoS_NetBIOS,DrDoS_SNMP,DrDoS_SSDP,DrDoS_UDP,LDAP,MSSQL,NetBIOS,Port Scan,Syn,TFTP,UDP,UDP-lag,Web Attack
BENIGN,12,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bot,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force,0,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DoS,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DrDoS_DNS,0,0,0,0,0,6,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_LDAP,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_MSSQL,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NTP,0,0,0,0,0,2,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NetBIOS,1,0,0,0,0,0,0,1,0,11,1,5,0,0,0,0,0,0,0,0,0,0
DrDoS_SNMP,0,0,0,0,0,0,0,2,0,0,13,4,0,0,0,0,0,0,0,0,0,0
DrDoS_SSDP,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
DrDoS_UDP,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0
LDAP,0,0,0,1,0,0,0,0,0,0,0,0,4,14,0,1,0,0,0,0,0,0
MSSQL,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,0,0
NetBIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,1,0,0,0,0
Port Scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1
Syn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0
TFTP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0
UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
UDP-lag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0
Web Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19
