,precision,recall,f1-score,support
BENIGN,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
Bot,0.8461538461538461,0.7857142857142857,0.8148148148148148,28.0
Brute Force,0.7391304347826086,0.9444444444444444,0.8292682926829268,18.0
DDoS,0.875,1.0,0.9333333333333333,21.0
DoS,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
DrDoS_DNS,0.5833333333333334,0.3888888888888889,0.4666666666666667,18.0
DrDoS_LDAP,0.8421052631578947,0.8421052631578947,0.8421052631578947,19.0
DrDoS_MSSQL,0.5675675675675675,0.9130434782608695,0.7,23.0
DrDoS_NTP,0.9473684210526315,0.8571428571428571,0.9,21.0
DrDoS_NetBIOS,0.7272727272727273,0.42105263157894735,0.5333333333333333,19.0
DrDoS_SNMP,0.65625,0.9130434782608695,0.7636363636363637,23.0
DrDoS_SSDP,1.0,0.9333333333333333,0.9655172413793104,15.0
DrDoS_UDP,1.0,1.0,1.0,19.0
Exploits,0.631578947368421,0.5,0.5581395348837209,24.0
Fuzzers,0.5882352941176471,0.8695652173913043,0.7017543859649122,23.0
Generic,0.2727272727272727,0.2727272727272727,0.2727272727272727,22.0
LDAP,0.9285714285714286,0.5909090909090909,0.7222222222222222,22.0
MSSQL,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
NetBIOS,0.7368421052631579,0.7777777777777778,0.7567567567567568,18.0
Port Scan,0.8260869565217391,1.0,0.9047619047619048,19.0
Reconnaissance,0.6875,0.5238095238095238,0.5945945945945946,21.0
Shellcode,0.8235294117647058,0.7368421052631579,0.7777777777777778,19.0
Syn,0.8,0.6666666666666666,0.7272727272727273,24.0
TFTP,0.8,0.9230769230769231,0.8571428571428571,13.0
UDP,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
UDP-lag,0.782608695652174,0.9,0.8372093023255814,20.0
Web Attack,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
accuracy,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667
macro avg,0.7869782004781294,0.7755907896004514,0.7706266256784895,540.0
weighted avg,0.7789537537745435,0.7666666666666667,0.7615793615060701,540.0
