,precision,recall,f1-score,support
BENIGN,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
Bot,0.9655172413793104,1.0,0.9824561403508771,28.0
Brute Force,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
DDoS,0.9545454545454546,1.0,0.9767441860465116,21.0
DoS,0.9565217391304348,1.0,0.9777777777777777,22.0
DrDoS_DNS,1.0,0.6666666666666666,0.8,18.0
DrDoS_LDAP,0.9,0.9473684210526315,0.9230769230769231,19.0
DrDoS_MSSQL,0.88,0.9565217391304348,0.9166666666666666,23.0
DrDoS_NTP,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
DrDoS_NetBIOS,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
DrDoS_SNMP,1.0,1.0,1.0,23.0
DrDoS_SSDP,1.0,0.9333333333333333,0.9655172413793104,15.0
DrDoS_UDP,1.0,1.0,1.0,19.0
Exploits,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
Fuzzers,1.0,0.9565217391304348,0.9777777777777777,23.0
Generic,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
LDAP,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
MSSQL,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
NetBIOS,0.85,0.9444444444444444,0.8947368421052632,18.0
Port Scan,1.0,1.0,1.0,19.0
Reconnaissance,1.0,0.9523809523809523,0.975609756097561,21.0
Shellcode,0.9047619047619048,1.0,0.95,19.0
Syn,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
TFTP,1.0,1.0,1.0,13.0
UDP,1.0,0.9333333333333333,0.9655172413793104,15.0
UDP-lag,0.9090909090909091,1.0,0.9523809523809523,20.0
Web Attack,1.0,1.0,1.0,18.0
accuracy,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482
macro avg,0.9513766711827331,0.9471910513608962,0.947499794720697,540.0
weighted avg,0.9500826159791677,0.9481481481481482,0.9474659267018347,540.0
