,precision,recall,f1-score,support
BENIGN,0.6923076923076923,0.5,0.5806451612903226,18.0
Bot,0.7916666666666666,0.6785714285714286,0.7307692307692307,28.0
Brute Force,0.875,0.7777777777777778,0.8235294117647058,18.0
DDoS,0.6,0.8571428571428571,0.7058823529411765,21.0
DoS,0.9166666666666666,0.5,0.6470588235294118,22.0
DrDoS_DNS,0.36363636363636365,0.4444444444444444,0.4,18.0
DrDoS_LDAP,0.3235294117647059,0.5789473684210527,0.41509433962264153,19.0
DrDoS_MSSQL,0.3333333333333333,0.6521739130434783,0.4411764705882353,23.0
DrDoS_NTP,0.9411764705882353,0.7619047619047619,0.8421052631578947,21.0
DrDoS_NetBIOS,1.0,0.05263157894736842,0.1,19.0
DrDoS_SNMP,1.0,0.21739130434782608,0.35714285714285715,23.0
DrDoS_SSDP,0.16666666666666666,0.06666666666666667,0.09523809523809523,15.0
DrDoS_UDP,0.5135135135135135,1.0,0.6785714285714286,19.0
Exploits,0.4146341463414634,0.7083333333333334,0.5230769230769231,24.0
Fuzzers,0.6333333333333333,0.8260869565217391,0.7169811320754716,23.0
Generic,0.0,0.0,0.0,22.0
LDAP,0.5384615384615384,0.6363636363636364,0.5833333333333334,22.0
MSSQL,0.4666666666666667,0.3888888888888889,0.42424242424242425,18.0
NetBIOS,0.7142857142857143,0.2777777777777778,0.4,18.0
Port Scan,0.8260869565217391,1.0,0.9047619047619048,19.0
Reconnaissance,0.3333333333333333,0.23809523809523808,0.2777777777777778,21.0
Shellcode,0.45454545454545453,0.5263157894736842,0.4878048780487805,19.0
Syn,0.7727272727272727,0.7083333333333334,0.7391304347826086,24.0
TFTP,0.8666666666666667,1.0,0.9285714285714286,13.0
UDP,0.4827586206896552,0.9333333333333333,0.6363636363636364,15.0
UDP-lag,0.7692307692307693,0.5,0.6060606060606061,20.0
Web Attack,0.9,1.0,0.9473684210526315,18.0
accuracy,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
macro avg,0.6181565651091648,0.586340014384764,0.5552846790653159,540.0
weighted avg,0.6205867204984236,0.5833333333333334,0.554972868544761,540.0
