,BENIGN,Bot,Brute Force,DDoS,DoS,DrDoS_DNS,DrDoS_LDAP,DrDoS_MSSQL,DrDoS_NTP,DrDoS_NetBIOS,DrDoS_SNMP,DrDoS_SSDP,DrDoS_UDP,Exploits,Fuzzers,Generic,LDAP,MSSQL,NetBIOS,Port Scan,Reconnaissance,Shellcode,Syn,TFTP,UDP,UDP-lag,Web Attack
BENIGN,9,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
Bot,0,19,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force,0,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,1,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS,0,0,0,1,11,7,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_DNS,1,0,0,0,0,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_LDAP,0,0,0,0,0,4,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_MSSQL,0,0,0,1,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NTP,0,0,0,0,0,0,2,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NetBIOS,0,0,0,0,0,0,4,8,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
DrDoS_SNMP,0,0,0,0,0,0,7,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_SSDP,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_UDP,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploits,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0
Fuzzers,0,0,0,1,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,1,0,0,0,0,0,0
Generic,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,3,2,2,0,0,0,0
LDAP,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,14,2,0,2,0,0,0,0,0,0,0
MSSQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,7,0,0,0,0,0,0,1,0,0
NetBIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,1,0,1,6,0,0
Port Scan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
Reconnaissance,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,5,8,0,0,1,0,0
Shellcode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,10,0,0,0,0,0
Syn,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,1,0,2,1
TFTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0
UDP-lag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,10,1
Web Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
