,precision,recall,f1-score,support
BENIGN,0.9719101123595506,0.9611111111111111,0.9664804469273743,180.0
Bot,1.0,0.9753694581280788,0.9875311720698254,203.0
Brute Force,0.9904761904761905,1.0,0.9952153110047847,208.0
DDoS,0.9861751152073732,0.9953488372093023,0.9907407407407407,215.0
DoS,0.9695431472081218,0.9845360824742269,0.9769820971867008,194.0
Port Scan,1.0,0.9948979591836735,0.9974424552429667,196.0
Web Attack,0.9951219512195122,1.0,0.9975550122249389,204.0
accuracy,0.9878571428571429,0.9878571428571429,0.9878571428571429,0.9878571428571429
macro avg,0.9876037880672497,0.9873233497294847,0.9874210336281901,1400.0
weighted avg,0.9879191187289345,0.9878571428571429,0.9878455877864896,1400.0
