,precision,recall,f1-score,support
BENIGN,0.994475138121547,1.0,0.997229916897507,180.0
Bot,1.0,1.0,1.0,203.0
Brute Force,1.0,1.0,1.0,208.0
DDoS,1.0,1.0,1.0,215.0
DoS,1.0,0.9948453608247423,0.9974160206718347,194.0
Port Scan,1.0,1.0,1.0,196.0
Web Attack,1.0,1.0,1.0,204.0
accuracy,0.9992857142857143,0.9992857142857143,0.9992857142857143,0.9992857142857143
macro avg,0.9992107340173639,0.9992636229749632,0.9992351339384774,1400.0
weighted avg,0.9992896606156275,0.9992857142857143,0.999285780751348,1400.0
