,precision,recall,f1-score,support
BENIGN,1.0,0.8076923076923077,0.8936170212765957,26.0
Bot,1.0,1.0,1.0,19.0
Brute Force,1.0,1.0,1.0,27.0
DDoS,1.0,1.0,1.0,22.0
DoS,0.8,1.0,0.8888888888888888,20.0
Exploits,1.0,1.0,1.0,16.0
Fuzzers,0.95,1.0,0.9743589743589743,19.0
Generic,1.0,0.9411764705882353,0.9696969696969697,17.0
Port Scan,1.0,1.0,1.0,17.0
Reconnaissance,1.0,1.0,1.0,16.0
Shellcode,1.0,1.0,1.0,20.0
Web Attack,1.0,1.0,1.0,21.0
accuracy,0.975,0.975,0.975,0.975
macro avg,0.9791666666666666,0.9790723981900452,0.9772134878517856,240.0
weighted avg,0.979375,0.975,0.9750395388693262,240.0
