,precision,recall,f1-score,support
BENIGN,1.0,0.8461538461538461,0.9166666666666666,26.0
Bot,0.9047619047619048,1.0,0.95,19.0
Brute Force,1.0,0.9259259259259259,0.9615384615384616,27.0
DDoS,1.0,1.0,1.0,22.0
DoS,0.8695652173913043,1.0,0.9302325581395349,20.0
Exploits,1.0,1.0,1.0,16.0
Fuzzers,0.9047619047619048,1.0,0.95,19.0
Generic,1.0,0.9411764705882353,0.9696969696969697,17.0
Port Scan,1.0,1.0,1.0,17.0
Reconnaissance,1.0,1.0,1.0,16.0
Shellcode,1.0,1.0,1.0,20.0
Web Attack,1.0,1.0,1.0,21.0
accuracy,0.9708333333333333,0.9708333333333333,0.9708333333333333,0.9708333333333333
macro avg,0.9732574189095927,0.9761046868890007,0.9731778880034695,240.0
weighted avg,0.9740510697032436,0.9708333333333333,0.9707682143437958,240.0
