,BENIGN,Bot,Brute Force,DDoS,DoS,Exploits,Fuzzers,Generic,Port Scan,Reconnaissance,Shellcode,Web Attack
BENIGN,22,0,0,0,3,0,1,0,0,0,0,0
Bot,0,19,0,0,0,0,0,0,0,0,0,0
Brute Force,0,2,25,0,0,0,0,0,0,0,0,0
DDoS,0,0,0,22,0,0,0,0,0,0,0,0
DoS,0,0,0,0,20,0,0,0,0,0,0,0
Exploits,0,0,0,0,0,16,0,0,0,0,0,0
Fuzzers,0,0,0,0,0,0,19,0,0,0,0,0
Generic,0,0,0,0,0,0,1,16,0,0,0,0
Port Scan,0,0,0,0,0,0,0,0,17,0,0,0
Reconnaissance,0,0,0,0,0,0,0,0,0,16,0,0
Shellcode,0,0,0,0,0,0,0,0,0,0,20,0
Web Attack,0,0,0,0,0,0,0,0,0,0,0,21
