,precision,recall,f1-score,support
BENIGN,1.0,0.9523809523809523,0.975609756097561,21.0
Bot,1.0,1.0,1.0,18.0
Brute Force,1.0,1.0,1.0,22.0
DDoS,0.96,1.0,0.9795918367346939,24.0
DoS,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
Port Scan,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
Web Attack,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
accuracy,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
macro avg,0.9697258903561424,0.9686374549819928,0.9690404036178932,140.0
weighted avg,0.9717142857142856,0.9714285714285714,0.9714143497120103,140.0
