,BENIGN,Bot,Brute Force,DDoS,DoS,DrDoS_DNS,DrDoS_LDAP,DrDoS_MSSQL,DrDoS_NTP,DrDoS_NetBIOS,DrDoS_SNMP,DrDoS_SSDP,DrDoS_UDP,Infiltration,LDAP,MSSQL,NetBIOS,Syn,TFTP,UDP,UDP-lag
BENIGN,6,8,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bot,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DrDoS_DNS,0,0,0,0,1,7,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0
DrDoS_LDAP,0,0,0,0,0,1,14,0,2,0,5,0,0,0,0,0,0,0,0,0,0
DrDoS_MSSQL,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NTP,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0
DrDoS_NetBIOS,0,0,0,0,0,0,0,5,0,13,1,0,0,0,0,0,2,0,0,0,0
DrDoS_SNMP,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
DrDoS_SSDP,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0
DrDoS_UDP,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Infiltration,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0
LDAP,0,0,0,0,0,0,2,0,0,0,6,0,0,0,7,0,0,1,0,0,0
MSSQL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,14,0,0,0,0,0
NetBIOS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,20,1,0,0,0
Syn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
TFTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
UDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
UDP-lag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
