,precision,recall,f1-score,support
BENIGN,0.92,0.9583333333333334,0.9387755102040817,24.0
Bot,1.0,1.0,1.0,23.0
Brute Force,0.9375,1.0,0.967741935483871,15.0
DDoS,1.0,1.0,1.0,21.0
DoS,1.0,1.0,1.0,17.0
DrDoS_DNS,1.0,0.8823529411764706,0.9375,17.0
DrDoS_LDAP,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
DrDoS_MSSQL,1.0,0.9523809523809523,0.975609756097561,21.0
DrDoS_NTP,1.0,1.0,1.0,22.0
DrDoS_NetBIOS,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
DrDoS_SNMP,0.9166666666666666,0.9565217391304348,0.9361702127659575,23.0
DrDoS_SSDP,1.0,1.0,1.0,24.0
DrDoS_UDP,1.0,1.0,1.0,14.0
Infiltration,1.0,0.9545454545454546,0.9767441860465116,22.0
LDAP,0.9411764705882353,1.0,0.9696969696969697,16.0
MSSQL,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
NetBIOS,1.0,0.9259259259259259,0.9615384615384616,27.0
Syn,1.0,1.0,1.0,18.0
TFTP,1.0,1.0,1.0,20.0
UDP,1.0,1.0,1.0,18.0
UDP-lag,1.0,1.0,1.0,17.0
accuracy,0.9738095238095238,0.9738095238095238,0.9738095238095238,0.9738095238095238
macro avg,0.9750240195239043,0.9753062475173058,0.9746862017365056,420.0
weighted avg,0.9749449441485213,0.9738095238095238,0.9739116595057355,420.0
