,precision,recall,f1-score,support
BENIGN,0.9310344827586207,0.9,0.9152542372881356,30.0
Bot,1.0,0.9375,0.967741935483871,16.0
Brute Force,0.9655172413793104,1.0,0.9824561403508771,28.0
DDoS,1.0,0.9545454545454546,0.9767441860465116,22.0
DoS,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
DrDoS_DNS,0.875,0.6666666666666666,0.7567567567567568,21.0
DrDoS_LDAP,0.8148148148148148,0.9166666666666666,0.8627450980392157,24.0
DrDoS_MSSQL,0.7727272727272727,1.0,0.8717948717948718,17.0
DrDoS_NTP,1.0,1.0,1.0,21.0
DrDoS_NetBIOS,0.9090909090909091,0.7142857142857143,0.8,14.0
DrDoS_SNMP,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
DrDoS_SSDP,0.9565217391304348,1.0,0.9777777777777777,22.0
DrDoS_UDP,1.0,1.0,1.0,19.0
Exploits,0.8064516129032258,0.9615384615384616,0.8771929824561403,26.0
Fuzzers,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Generic,0.9583333333333334,0.8846153846153846,0.92,26.0
Infiltration,0.9473684210526315,0.9,0.9230769230769231,20.0
LDAP,0.9047619047619048,0.95,0.926829268292683,20.0
MSSQL,0.9375,0.8823529411764706,0.9090909090909091,17.0
NetBIOS,1.0,1.0,1.0,14.0
Reconnaissance,1.0,1.0,1.0,18.0
Shellcode,1.0,1.0,1.0,19.0
Syn,0.9333333333333333,1.0,0.9655172413793104,14.0
TFTP,1.0,1.0,1.0,21.0
UDP,1.0,1.0,1.0,16.0
UDP-lag,1.0,0.9565217391304348,0.9777777777777777,23.0
accuracy,0.9384615384615385,0.9384615384615385,0.9384615384615385,0.9384615384615385
macro avg,0.9434194339129234,0.9376630185834887,0.9382764083703261,520.0
weighted avg,0.941659501221385,0.9384615384615385,0.9378887177726082,520.0
