,precision,recall,f1-score,support
BENIGN,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0
Bot,1.0,0.9375,0.967741935483871,16.0
Brute Force,1.0,1.0,1.0,28.0
DDoS,1.0,0.9545454545454546,0.9767441860465116,22.0
DoS,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
DrDoS_DNS,0.8823529411764706,0.7142857142857143,0.7894736842105263,21.0
DrDoS_LDAP,0.8076923076923077,0.875,0.84,24.0
DrDoS_MSSQL,0.7727272727272727,1.0,0.8717948717948718,17.0
DrDoS_NTP,1.0,1.0,1.0,21.0
DrDoS_NetBIOS,0.9090909090909091,0.7142857142857143,0.8,14.0
DrDoS_SNMP,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
DrDoS_SSDP,1.0,1.0,1.0,22.0
DrDoS_UDP,0.95,1.0,0.9743589743589743,19.0
Exploits,0.8214285714285714,0.8846153846153846,0.8518518518518519,26.0
Fuzzers,0.9230769230769231,0.8,0.8571428571428571,15.0
Generic,0.875,0.8076923076923077,0.84,26.0
Infiltration,0.9,0.9,0.9,20.0
LDAP,0.8636363636363636,0.95,0.9047619047619048,20.0
MSSQL,0.9375,0.8823529411764706,0.9090909090909091,17.0
NetBIOS,1.0,0.9285714285714286,0.9629629629629629,14.0
Reconnaissance,0.9473684210526315,1.0,0.972972972972973,18.0
Shellcode,1.0,1.0,1.0,19.0
Syn,0.9333333333333333,1.0,0.9655172413793104,14.0
TFTP,1.0,1.0,1.0,21.0
UDP,1.0,1.0,1.0,16.0
UDP-lag,1.0,0.9565217391304348,0.9777777777777777,23.0
accuracy,0.926923076923077,0.926923076923077,0.926923076923077,0.926923076923077
macro avg,0.9310054997920744,0.9253813899557062,0.9261624967969442,520.0
weighted avg,0.9294119547113138,0.926923076923077,0.9263750779243829,520.0
