,precision,recall,f1-score,support
BENIGN,0.92,0.9583333333333334,0.9387755102040817,24.0
Bot,1.0,1.0,1.0,23.0
Brute Force,0.9375,1.0,0.967741935483871,15.0
DDoS,1.0,1.0,1.0,21.0
DoS,1.0,1.0,1.0,17.0
DrDoS_DNS,0.9375,0.8823529411764706,0.9090909090909091,17.0
DrDoS_LDAP,0.8695652173913043,0.9090909090909091,0.8888888888888888,22.0
DrDoS_MSSQL,1.0,0.9523809523809523,0.975609756097561,21.0
DrDoS_NTP,1.0,1.0,1.0,22.0
DrDoS_NetBIOS,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
DrDoS_SNMP,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
DrDoS_SSDP,0.96,1.0,0.9795918367346939,24.0
DrDoS_UDP,1.0,1.0,1.0,14.0
Infiltration,1.0,0.9090909090909091,0.9523809523809523,22.0
LDAP,0.8421052631578947,1.0,0.9142857142857143,16.0
MSSQL,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
NetBIOS,1.0,0.8518518518518519,0.92,27.0
Syn,0.9473684210526315,1.0,0.972972972972973,18.0
TFTP,1.0,1.0,1.0,20.0
UDP,1.0,1.0,1.0,18.0
UDP-lag,1.0,1.0,1.0,17.0
accuracy,0.9595238095238096,0.9595238095238096,0.9595238095238096,0.9595238095238096
macro avg,0.9603977248158353,0.9627340103073875,0.9606500855081122,420.0
weighted avg,0.9613732156478151,0.9595238095238096,0.9594983741462006,420.0
