,precision,recall,f1-score,support
BENIGN,1.0,1.0,1.0,10.0
Bot,1.0,1.0,1.0,28.0
Brute Force,0.8571428571428571,1.0,0.9230769230769231,18.0
DDoS,1.0,1.0,1.0,14.0
DoS,1.0,1.0,1.0,18.0
Exploits,0.8636363636363636,1.0,0.926829268292683,19.0
Fuzzers,0.9545454545454546,0.75,0.84,28.0
Generic,0.8095238095238095,0.7727272727272727,0.7906976744186046,22.0
Infiltration,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
Reconnaissance,0.75,0.8823529411764706,0.8108108108108109,17.0
Shellcode,0.7727272727272727,0.7727272727272727,0.7727272727272727,22.0
accuracy,0.8954545454545455,0.8954545454545455,0.8954545454545455,0.8954545454545455
macro avg,0.9015151515151515,0.91010371090585,0.9030642878834182,220.0
weighted avg,0.8997392758756394,0.8954545454545455,0.8945174479605907,220.0
