,precision,recall,f1-score,support
BENIGN,0.9,0.9,0.9,10.0
Bot,1.0,0.9642857142857143,0.9818181818181818,28.0
Brute Force,1.0,1.0,1.0,18.0
DDoS,1.0,1.0,1.0,14.0
DoS,1.0,1.0,1.0,18.0
Exploits,0.9047619047619048,1.0,0.95,19.0
Fuzzers,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
Generic,0.84,0.9545454545454546,0.8936170212765957,22.0
Infiltration,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Reconnaissance,0.9375,0.8823529411764706,0.9090909090909091,17.0
Shellcode,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0
accuracy,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.9454545454545454
macro avg,0.9460814185814186,0.9469100863485891,0.9456823910615912,220.0
weighted avg,0.9474355228105228,0.9454545454545454,0.9455582518390085,220.0
