,precision,recall,f1-score,support
BENIGN,1.0,0.9,0.9473684210526315,10.0
Bot,0.9655172413793104,1.0,0.9824561403508771,28.0
Brute Force,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0
DDoS,0.6666666666666666,1.0,0.8,14.0
DoS,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Exploits,0.7333333333333333,0.5789473684210527,0.6470588235294118,19.0
Fuzzers,0.6666666666666666,0.8571428571428571,0.75,28.0
Generic,0.8888888888888888,0.7272727272727273,0.8,22.0
Infiltration,0.92,0.9583333333333334,0.9387755102040817,24.0
Reconnaissance,0.4666666666666667,0.4117647058823529,0.4375,17.0
Shellcode,0.5,0.5,0.5,22.0
accuracy,0.7772727272727272,0.7772727272727272,0.7772727272727272,0.7772727272727272
macro avg,0.7880773249738766,0.7717287770552617,0.7709942429922527,220.0
weighted avg,0.7865304771856497,0.7772727272727272,0.7738394819650348,220.0
