,precision,recall,f1-score,support
BENIGN,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
DrDoS_DNS,1.0,1.0,1.0,19.0
DrDoS_LDAP,0.9545454545454546,1.0,0.9767441860465116,21.0
DrDoS_MSSQL,1.0,0.9565217391304348,0.9777777777777777,23.0
DrDoS_NTP,0.9523809523809523,1.0,0.975609756097561,20.0
DrDoS_NetBIOS,0.95,0.9047619047619048,0.926829268292683,21.0
DrDoS_SNMP,1.0,1.0,1.0,20.0
DrDoS_SSDP,1.0,0.95,0.9743589743589743,20.0
DrDoS_UDP,1.0,0.9545454545454546,0.9767441860465116,22.0
LDAP,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
MSSQL,0.9230769230769231,1.0,0.96,12.0
NetBIOS,1.0,1.0,1.0,26.0
Syn,0.8461538461538461,0.9166666666666666,0.88,12.0
TFTP,1.0,1.0,1.0,17.0
UDP,1.0,0.9583333333333334,0.9787234042553191,24.0
UDP-lag,0.9545454545454546,1.0,0.9767441860465116,21.0
accuracy,0.971875,0.971875,0.971875,0.971875
macro avg,0.9677870494303561,0.9715449536638037,0.9692138686940572,320.0
weighted avg,0.9728728042790543,0.971875,0.9719770866914696,320.0
