,precision,recall,f1-score,support
BENIGN,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
DrDoS_DNS,0.7894736842105263,0.7894736842105263,0.7894736842105263,19.0
DrDoS_LDAP,0.5,0.5714285714285714,0.5333333333333333,21.0
DrDoS_MSSQL,0.40540540540540543,0.6521739130434783,0.5,23.0
DrDoS_NTP,0.8888888888888888,0.8,0.8421052631578947,20.0
DrDoS_NetBIOS,0.6666666666666666,0.09523809523809523,0.16666666666666666,21.0
DrDoS_SNMP,0.0,0.0,0.0,20.0
DrDoS_SSDP,0.5588235294117647,0.95,0.7037037037037037,20.0
DrDoS_UDP,0.5945945945945946,1.0,0.7457627118644068,22.0
LDAP,0.125,0.043478260869565216,0.06451612903225806,23.0
MSSQL,0.24,0.5,0.32432432432432434,12.0
NetBIOS,0.9047619047619048,0.7307692307692307,0.8085106382978723,26.0
Syn,0.7058823529411765,1.0,0.8275862068965517,12.0
TFTP,1.0,1.0,1.0,17.0
UDP,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
UDP-lag,1.0,0.7619047619047619,0.8648648648648649,21.0
accuracy,0.665625,0.665625,0.665625,0.665625
macro avg,0.6428249238291808,0.6750105169906371,0.6297843300461481,320.0
weighted avg,0.6487782860328817,0.665625,0.6281662346829632,320.0
