,precision,recall,f1-score,support
BENIGN,0.4728682170542636,0.6009852216748769,0.5292841648590022,203.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.014084507042253521,0.011363636363636364,0.012578616352201259,176.0
DrDoS_LDAP,0.5432098765432098,0.22564102564102564,0.3188405797101449,195.0
DrDoS_MSSQL,0.3684210526315789,0.16091954022988506,0.224,174.0
DrDoS_NTP,0.0,0.0,0.0,191.0
DrDoS_NetBIOS,0.0,0.0,0.0,209.0
DrDoS_SNMP,0.07668231611893583,0.2692307692307692,0.11936662606577345,182.0
DrDoS_SSDP,0.0,0.0,0.0,215.0
DrDoS_UDP,0.0,0.0,0.0,172.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,206.0
MSSQL,0.0,0.0,0.0,220.0
NetBIOS,0.14285714285714285,0.004291845493562232,0.008333333333333333,233.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,212.0
TFTP,0.0,0.0,0.0,196.0
UDP,0.0,0.0,0.0,213.0
UDP-lag,0.6,0.04433497536945813,0.08256880733944955,203.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0796875,0.0796875,0.0796875,0.0796875
macro avg,0.09644013531510368,0.05725073973927016,0.05630313598521325,3200.0
weighted avg,0.13673256443894793,0.0796875,0.07851134234012151,3200.0
