,precision,recall,f1-score,support
BENIGN,0.05247718383311604,0.8256410256410256,0.09868219429972418,195.0
Bot,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,167.0
DrDoS_LDAP,0.0,0.0,0.0,213.0
DrDoS_MSSQL,0.0,0.0,0.0,193.0
DrDoS_NTP,0.0,0.0,0.0,216.0
DrDoS_NetBIOS,0.0,0.0,0.0,200.0
DrDoS_SNMP,0.0,0.0,0.0,190.0
DrDoS_SSDP,0.0,0.0,0.0,208.0
DrDoS_UDP,0.0,0.0,0.0,197.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,193.0
MSSQL,0.0,0.0,0.0,191.0
NetBIOS,0.0,0.0,0.0,203.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,209.0
TFTP,0.0,0.0,0.0,219.0
UDP,0.0,0.0,0.0,186.0
UDP-lag,0.0,0.0,0.0,220.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0503125,0.0503125,0.0503125,0.0503125
macro avg,0.002186549326379835,0.0344017094017094,0.004111758095821841,3200.0
weighted avg,0.003197828389830509,0.0503125,0.006013446215139442,3200.0
