,precision,recall,f1-score,support
BENIGN,0.06658395368072788,0.8009950248756219,0.12294768995799923,201.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,200.0
DrDoS_LDAP,0.0,0.0,0.0,193.0
DrDoS_MSSQL,0.0,0.0,0.0,223.0
DrDoS_NTP,0.0,0.0,0.0,205.0
DrDoS_NetBIOS,0.0,0.0,0.0,181.0
DrDoS_SNMP,0.0,0.0,0.0,185.0
DrDoS_SSDP,0.0,0.0,0.0,198.0
DrDoS_UDP,0.0,0.0,0.0,187.0
Exploits,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,203.0
MSSQL,0.0,0.0,0.0,202.0
NetBIOS,0.0,0.0,0.0,209.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,200.0
TFTP,0.0,0.0,0.0,207.0
UDP,0.0,0.0,0.0,204.0
UDP-lag,0.0,0.0,0.0,202.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0503125,0.0503125,0.0503125,0.0503125
macro avg,0.0027743314033636616,0.03337479270315091,0.005122820414916635,3200.0
weighted avg,0.0041823045905707195,0.0503125,0.007722651775486827,3200.0
