,precision,recall,f1-score,support
BENIGN,0.21875,0.6,0.32061068702290074,210.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,204.0
DrDoS_LDAP,0.01639344262295082,0.005154639175257732,0.00784313725490196,194.0
DrDoS_MSSQL,0.0,0.0,0.0,208.0
DrDoS_NTP,0.0,0.0,0.0,196.0
DrDoS_NetBIOS,0.0,0.0,0.0,186.0
DrDoS_SNMP,0.18658892128279883,0.6432160804020101,0.28926553672316385,199.0
DrDoS_SSDP,0.0,0.0,0.0,197.0
DrDoS_UDP,0.0,0.0,0.0,195.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.005256241787122208,0.021052631578947368,0.008412197686645636,190.0
MSSQL,0.0,0.0,0.0,219.0
NetBIOS,0.0,0.0,0.0,211.0
Syn,0.5,0.009389671361502348,0.018433179723502304,213.0
TFTP,0.0,0.0,0.0,189.0
UDP,0.0,0.0,0.0,201.0
UDP-lag,0.0,0.0,0.0,188.0
accuracy,0.0815625,0.0815625,0.0815625,0.0815625
macro avg,0.04414231455680342,0.060895858215129405,0.03069355897195784,3200.0
weighted avg,0.060546159107400827,0.0815625,0.04123069985991825,3200.0
