,precision,recall,f1-score,support
BENIGN,0.057133634602969656,0.9414893617021277,0.10772976262933658,188.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,228.0
DrDoS_LDAP,0.0,0.0,0.0,185.0
DrDoS_MSSQL,0.0,0.0,0.0,188.0
DrDoS_NTP,0.0,0.0,0.0,208.0
DrDoS_NetBIOS,0.0,0.0,0.0,206.0
DrDoS_SNMP,0.0,0.0,0.0,195.0
DrDoS_SSDP,0.0,0.0,0.0,184.0
DrDoS_UDP,0.0,0.0,0.0,180.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,205.0
MSSQL,0.0,0.0,0.0,194.0
NetBIOS,0.0,0.0,0.0,193.0
Syn,0.0,0.0,0.0,206.0
TFTP,0.0,0.0,0.0,201.0
UDP,0.0,0.0,0.0,239.0
UDP-lag,0.0,0.0,0.0,200.0
accuracy,0.0553125,0.0553125,0.0553125,0.0553125
macro avg,0.0028566817301484827,0.04707446808510639,0.005386488131466829,3200.0
weighted avg,0.0033566010329244673,0.0553125,0.006329123554473523,3200.0
