,precision,recall,f1-score,support
BENIGN,0.01641684511063526,0.21495327102803738,0.03050397877984085,214.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,231.0
DrDoS_LDAP,0.0,0.0,0.0,208.0
DrDoS_MSSQL,0.0,0.0,0.0,178.0
DrDoS_NTP,0.0,0.0,0.0,189.0
DrDoS_NetBIOS,0.0,0.0,0.0,202.0
DrDoS_SNMP,0.0,0.0,0.0,190.0
DrDoS_SSDP,0.0,0.0,0.0,213.0
DrDoS_UDP,0.0,0.0,0.0,192.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,169.0
MSSQL,0.0,0.0,0.0,198.0
NetBIOS,0.0,0.0,0.0,215.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,216.0
TFTP,0.0,0.0,0.0,181.0
UDP,0.0,0.0,0.0,203.0
UDP-lag,0.0,0.0,0.0,201.0
accuracy,0.014375,0.014375,0.014375,0.014375
macro avg,0.0007462202323016028,0.009770603228547154,0.001386544489992766,3200.0
weighted avg,0.0010978765167737332,0.014375,0.0020399535809018567,3200.0
