,precision,recall,f1-score,support
BENIGN,0.1076923076923077,0.7970297029702971,0.18974661166764878,202.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,1.0,0.009389671361502348,0.018604651162790697,213.0
DrDoS_LDAP,0.0,0.0,0.0,172.0
DrDoS_MSSQL,0.0,0.0,0.0,228.0
DrDoS_NTP,1.0,0.1134020618556701,0.2037037037037037,194.0
DrDoS_NetBIOS,0.0,0.0,0.0,209.0
DrDoS_SNMP,0.0,0.0,0.0,199.0
DrDoS_SSDP,0.0,0.0,0.0,194.0
DrDoS_UDP,0.0,0.0,0.0,193.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,196.0
MSSQL,0.0,0.0,0.0,190.0
NetBIOS,0.0,0.0,0.0,229.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.3333333333333333,0.005405405405405406,0.010638297872340425,185.0
TFTP,0.0,0.0,0.0,195.0
UDP,0.0,0.0,0.0,207.0
UDP-lag,0.07692307692307693,0.010309278350515464,0.01818181818181818,194.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.05875,0.05875,0.05875,0.05875
macro avg,0.11445221445221447,0.04252436908833592,0.020039776481286447,3200.0
weighted avg,0.1579198717948718,0.05875,0.02728296331459803,3200.0
