,precision,recall,f1-score,support
BENIGN,0.07527766351295763,0.8798076923076923,0.13868889730958697,208.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,178.0
DrDoS_LDAP,0.0,0.0,0.0,222.0
DrDoS_MSSQL,0.0,0.0,0.0,193.0
DrDoS_NTP,0.0,0.0,0.0,205.0
DrDoS_NetBIOS,0.0,0.0,0.0,193.0
DrDoS_SNMP,0.0,0.0,0.0,193.0
DrDoS_SSDP,0.0,0.0,0.0,211.0
DrDoS_UDP,0.0,0.0,0.0,214.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,200.0
MSSQL,0.0,0.0,0.0,185.0
NetBIOS,0.0,0.0,0.0,204.0
Syn,0.0,0.0,0.0,181.0
TFTP,0.0,0.0,0.0,204.0
UDP,0.0,0.0,0.0,210.0
UDP-lag,0.0,0.0,0.0,199.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0571875,0.0571875,0.0571875,0.0571875
macro avg,0.0034217119778617105,0.039991258741258744,0.006304040786799408,3200.0
weighted avg,0.004893048128342246,0.0571875,0.009014778325123153,3200.0
