,precision,recall,f1-score,support
BENIGN,0.10276172125883108,0.7511737089201878,0.1807909604519774,213.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,177.0
DrDoS_LDAP,0.0,0.0,0.0,206.0
DrDoS_MSSQL,0.0,0.0,0.0,206.0
DrDoS_NTP,0.0,0.0,0.0,214.0
DrDoS_NetBIOS,0.0,0.0,0.0,193.0
DrDoS_SNMP,0.0,0.0,0.0,195.0
DrDoS_SSDP,0.0,0.0,0.0,202.0
DrDoS_UDP,0.0,0.0,0.0,197.0
Exploits,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,208.0
MSSQL,0.0,0.0,0.0,202.0
NetBIOS,0.0,0.0,0.0,186.0
Port Scan,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.036,0.05027932960893855,0.04195804195804196,179.0
TFTP,0.014925373134328358,0.005235602094240838,0.007751937984496124,191.0
UDP,0.0,0.0,0.0,222.0
UDP-lag,0.7272727272727273,0.03827751196172249,0.07272727272727272,209.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.055625,0.055625,0.055625,0.055625
macro avg,0.035238392866635465,0.033798646103403586,0.01212912852487153,3200.0
weighted avg,0.05724468528024617,0.055625,0.01959362007556233,3200.0
