,precision,recall,f1-score,support
BENIGN,0.0625,0.9471153846153846,0.11726190476190476,208.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,211.0
DrDoS_LDAP,0.0,0.0,0.0,192.0
DrDoS_MSSQL,0.0,0.0,0.0,209.0
DrDoS_NTP,0.0,0.0,0.0,187.0
DrDoS_NetBIOS,0.0,0.0,0.0,182.0
DrDoS_SNMP,0.0,0.0,0.0,199.0
DrDoS_SSDP,0.0,0.0,0.0,201.0
DrDoS_UDP,0.0,0.0,0.0,211.0
Exploits,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,211.0
MSSQL,0.0,0.0,0.0,196.0
NetBIOS,0.0,0.0,0.0,187.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,205.0
TFTP,0.0,0.0,0.0,193.0
UDP,0.0,0.0,0.0,199.0
UDP-lag,0.0,0.0,0.0,209.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0615625,0.0615625,0.0615625,0.0615625
macro avg,0.0026041666666666665,0.039463141025641024,0.004885912698412698,3200.0
weighted avg,0.0040625,0.0615625,0.0076220238095238094,3200.0
