,precision,recall,f1-score,support
BENIGN,0.9497716894977168,0.9904761904761905,0.9696969696969697,210.0
DrDoS_DNS,0.9792746113989638,1.0,0.9895287958115183,189.0
DrDoS_LDAP,0.979381443298969,0.9743589743589743,0.9768637532133676,195.0
DrDoS_MSSQL,0.9758454106280193,0.9619047619047619,0.9688249400479616,210.0
DrDoS_NTP,0.9812206572769953,0.9952380952380953,0.9881796690307328,210.0
DrDoS_NetBIOS,0.9792746113989638,0.9692307692307692,0.9742268041237113,195.0
DrDoS_SNMP,0.9850746268656716,0.9611650485436893,0.972972972972973,206.0
DrDoS_SSDP,0.9831460674157303,0.9887005649717514,0.9859154929577465,177.0
DrDoS_UDP,1.0,0.9702970297029703,0.9849246231155779,202.0
LDAP,0.978494623655914,0.9837837837837838,0.9811320754716981,185.0
MSSQL,0.9838709677419355,0.9682539682539683,0.976,189.0
NetBIOS,0.9896373056994818,1.0,0.9947916666666666,191.0
Syn,0.8985507246376812,0.96875,0.9323308270676691,192.0
TFTP,0.9904761904761905,0.9811320754716981,0.985781990521327,212.0
UDP,0.9720930232558139,1.0,0.9858490566037735,209.0
UDP-lag,0.9760765550239234,0.8947368421052632,0.9336384439359268,228.0
accuracy,0.9746875,0.9746875,0.9746875,0.9746875
macro avg,0.9751367817669981,0.9755017565026198,0.9750411300773512,3200.0
weighted avg,0.9751901312273327,0.9746875,0.9746466069743712,3200.0
