,precision,recall,f1-score,support
BENIGN,0.03646185010128292,0.5320197044334976,0.06824644549763033,203.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,195.0
DrDoS_LDAP,0.0,0.0,0.0,184.0
DrDoS_MSSQL,0.0,0.0,0.0,197.0
DrDoS_NTP,0.0,0.0,0.0,211.0
DrDoS_NetBIOS,0.0,0.0,0.0,190.0
DrDoS_SNMP,0.0,0.0,0.0,187.0
DrDoS_SSDP,0.0,0.0,0.0,217.0
DrDoS_UDP,0.0,0.0,0.0,182.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,203.0
MSSQL,0.0,0.0,0.0,228.0
NetBIOS,0.0,0.0,0.0,214.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,194.0
TFTP,0.0,0.0,0.0,186.0
UDP,0.0,0.0,0.0,195.0
UDP-lag,0.0,0.0,0.0,214.0
accuracy,0.03375,0.03375,0.03375,0.03375
macro avg,0.0017362785762515675,0.025334271639690358,0.0032498307379823965,3200.0
weighted avg,0.002313048615800135,0.03375,0.004329383886255925,3200.0
