,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,196.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,199.0
DrDoS_LDAP,0.1,0.3333333333333333,0.15384615384615385,195.0
DrDoS_MSSQL,0.0,0.0,0.0,197.0
DrDoS_NTP,0.20443101711983888,0.9950980392156863,0.3391812865497076,204.0
DrDoS_NetBIOS,0.0036496350364963502,0.005376344086021506,0.004347826086956522,186.0
DrDoS_SNMP,0.0,0.0,0.0,201.0
DrDoS_SSDP,0.0,0.0,0.0,201.0
DrDoS_UDP,0.0,0.0,0.0,191.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,191.0
MSSQL,0.0,0.0,0.0,186.0
NetBIOS,0.0,0.0,0.0,223.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.6956521739130435,0.07766990291262135,0.13973799126637554,206.0
TFTP,0.0,0.0,0.0,189.0
UDP,0.0,0.0,0.0,204.0
UDP-lag,0.9696969696969697,0.13852813852813853,0.24242424242424243,231.0
accuracy,0.0990625,0.0990625,0.0990625,0.0990625
macro avg,0.07308999243579069,0.057407620669474115,0.032575462969386515,3200.0
weighted avg,0.13412097107353824,0.0990625,0.057746157596621134,3200.0
