,precision,recall,f1-score,support
BENIGN,0.514018691588785,0.5699481865284974,0.5405405405405406,193.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.06666666666666667,0.005,0.009302325581395349,200.0
DrDoS_LDAP,0.0,0.0,0.0,222.0
DrDoS_MSSQL,0.0,0.0,0.0,195.0
DrDoS_NTP,0.17148362235067438,0.9834254143646409,0.29204265791632483,181.0
DrDoS_NetBIOS,0.01020408163265306,0.00510204081632653,0.006802721088435374,196.0
DrDoS_SNMP,0.0,0.0,0.0,213.0
DrDoS_SSDP,0.0,0.0,0.0,202.0
DrDoS_UDP,0.0,0.0,0.0,192.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,189.0
MSSQL,0.0,0.0,0.0,211.0
NetBIOS,0.0,0.0,0.0,215.0
Port Scan,0.0,0.0,0.0,0.0
Syn,0.030303030303030304,0.0047169811320754715,0.00816326530612245,212.0
TFTP,0.0,0.0,0.0,186.0
UDP,0.0,0.0,0.0,199.0
UDP-lag,0.625,0.02577319587628866,0.04950495049504951,194.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0925,0.0925,0.0925,0.0925
macro avg,0.06443982238826407,0.07245299175990132,0.041198020951266734,3200.0
weighted avg,0.08539116214990104,0.0925,0.05366013015554035,3200.0
