,precision,recall,f1-score,support
BENIGN,0.003861003861003861,0.009259259259259259,0.005449591280653951,216.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,194.0
DrDoS_LDAP,0.0,0.0,0.0,190.0
DrDoS_MSSQL,0.0,0.0,0.0,204.0
DrDoS_NTP,0.723404255319149,0.31627906976744186,0.4401294498381877,215.0
DrDoS_NetBIOS,0.06666666666666667,0.009615384615384616,0.01680672268907563,208.0
DrDoS_SNMP,0.00392156862745098,0.011695906432748537,0.005873715124816446,171.0
DrDoS_SSDP,0.0,0.0,0.0,210.0
DrDoS_UDP,0.0,0.0,0.0,207.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.04242424242424243,0.2048780487804878,0.07029288702928871,205.0
MSSQL,0.0,0.0,0.0,190.0
NetBIOS,0.0,0.0,0.0,165.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.5769230769230769,0.07653061224489796,0.13513513513513514,196.0
TFTP,0.0,0.0,0.0,190.0
UDP,0.0,0.0,0.0,223.0
UDP-lag,0.4864864864864865,0.25,0.3302752293577982,216.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0578125,0.0578125,0.0578125,0.0578125
macro avg,0.07050693704844727,0.032528084485193336,0.03718380483166503,3200.0
weighted avg,0.12429941265141516,0.0578125,0.06641910153321189,3200.0
