,precision,recall,f1-score,support
BENIGN,0.04962894248608534,0.49767441860465117,0.09025727541121889,215.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,178.0
DrDoS_LDAP,0.0,0.0,0.0,188.0
DrDoS_MSSQL,0.0,0.0,0.0,197.0
DrDoS_NTP,0.0,0.0,0.0,203.0
DrDoS_NetBIOS,0.0,0.0,0.0,197.0
DrDoS_SNMP,0.0,0.0,0.0,195.0
DrDoS_SSDP,0.0,0.0,0.0,195.0
DrDoS_UDP,0.0,0.0,0.0,211.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,220.0
MSSQL,0.0,0.0,0.0,213.0
NetBIOS,0.0,0.0,0.0,201.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,181.0
TFTP,0.0,0.0,0.0,208.0
UDP,0.0,0.0,0.0,196.0
UDP-lag,0.0,0.0,0.0,202.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.0334375,0.0334375,0.0334375,0.0334375
macro avg,0.0018381089809661238,0.01843238587424634,0.0033428620522673665,3200.0
weighted avg,0.003334444573283859,0.0334375,0.006064160691691269,3200.0
