,precision,recall,f1-score,support
BENIGN,0.0069124423963133645,0.06,0.012396694214876033,200.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,189.0
DrDoS_LDAP,0.0,0.0,0.0,180.0
DrDoS_MSSQL,0.0,0.0,0.0,194.0
DrDoS_NTP,0.0,0.0,0.0,210.0
DrDoS_NetBIOS,0.0,0.0,0.0,213.0
DrDoS_SNMP,0.0,0.0,0.0,211.0
DrDoS_SSDP,0.0,0.0,0.0,184.0
DrDoS_UDP,0.0,0.0,0.0,213.0
LDAP,0.0,0.0,0.0,206.0
MSSQL,0.0,0.0,0.0,209.0
NetBIOS,0.0,0.0,0.0,191.0
Syn,0.0,0.0,0.0,179.0
TFTP,0.0,0.0,0.0,205.0
UDP,0.0,0.0,0.0,214.0
UDP-lag,0.0,0.0,0.0,202.0
accuracy,0.00375,0.00375,0.00375,0.00375
macro avg,0.0003456221198156682,0.003,0.0006198347107438017,3200.0
weighted avg,0.0004320276497695853,0.00375,0.0007747933884297521,3200.0
