,precision,recall,f1-score,support
BENIGN,0.2296718972895863,0.7523364485981309,0.3519125683060109,214.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,208.0
DrDoS_LDAP,0.0,0.0,0.0,198.0
DrDoS_MSSQL,0.0,0.0,0.0,204.0
DrDoS_NTP,0.7771428571428571,0.6903553299492385,0.7311827956989247,197.0
DrDoS_NetBIOS,0.0,0.0,0.0,210.0
DrDoS_SNMP,0.0,0.0,0.0,205.0
DrDoS_SSDP,0.0,0.0,0.0,203.0
DrDoS_UDP,0.0,0.0,0.0,208.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,174.0
MSSQL,0.0,0.0,0.0,206.0
NetBIOS,0.0,0.0,0.0,186.0
Syn,0.0,0.0,0.0,210.0
TFTP,0.0,0.0,0.0,196.0
UDP,0.0,0.0,0.0,183.0
UDP-lag,1.0,0.030303030303030304,0.058823529411764705,198.0
accuracy,0.0946875,0.0946875,0.0946875,0.0946875
macro avg,0.10034073772162218,0.07364974044251998,0.05709594467083502,3200.0
weighted avg,0.12507716527409823,0.0946875,0.07218729974803248,3200.0
