,precision,recall,f1-score,support
BENIGN,0.03249235474006116,0.4106280193236715,0.06021962451292951,207.0
DoS,0.0,0.0,0.0,0.0
DrDoS_DNS,0.0,0.0,0.0,193.0
DrDoS_LDAP,0.0,0.0,0.0,203.0
DrDoS_MSSQL,0.0,0.0,0.0,214.0
DrDoS_NTP,0.0,0.0,0.0,177.0
DrDoS_NetBIOS,0.0,0.0,0.0,196.0
DrDoS_SNMP,0.0,0.0,0.0,205.0
DrDoS_SSDP,0.0,0.0,0.0,195.0
DrDoS_UDP,0.0,0.0,0.0,188.0
Exploits,0.0,0.0,0.0,0.0
Fuzzers,0.0,0.0,0.0,0.0
Generic,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,205.0
MSSQL,0.0,0.0,0.0,194.0
NetBIOS,0.0,0.0,0.0,209.0
Reconnaissance,0.0,0.0,0.0,0.0
Shellcode,0.0,0.0,0.0,0.0
Syn,0.0,0.0,0.0,210.0
TFTP,0.0,0.0,0.0,209.0
UDP,0.0,0.0,0.0,184.0
UDP-lag,0.0,0.0,0.0,211.0
accuracy,0.0265625,0.0265625,0.0265625,0.0265625
macro avg,0.0014769252154573254,0.018664909969257796,0.0027372556596786143,3200.0
weighted avg,0.0021018491972477063,0.0265625,0.0038954569606801277,3200.0
