,precision,recall,f1-score,support
BENIGN,0.0,0.0,0.0,207.0
Bot,0.0,0.0,0.0,176.0
Brute Force,0.0,0.0,0.0,212.0
DDoS,0.4090909090909091,0.043689320388349516,0.07894736842105263,206.0
DoS,0.08641975308641975,0.030837004405286344,0.045454545454545456,227.0
DrDoS_DNS,0.04384133611691023,0.10606060606060606,0.0620384047267356,198.0
DrDoS_LDAP,0.0,0.0,0.0,214.0
DrDoS_MSSQL,0.0,0.0,0.0,200.0
DrDoS_NTP,0.0,0.0,0.0,187.0
DrDoS_NetBIOS,0.07744107744107744,0.23834196891191708,0.11689961880559085,193.0
DrDoS_SNMP,0.0,0.0,0.0,200.0
DrDoS_SSDP,0.0,0.0,0.0,215.0
DrDoS_UDP,0.0,0.0,0.0,191.0
Exploits,0.0,0.0,0.0,198.0
Fuzzers,0.0,0.0,0.0,210.0
Generic,0.0,0.0,0.0,201.0
LDAP,0.0,0.0,0.0,188.0
MSSQL,0.0,0.0,0.0,196.0
NetBIOS,0.016891891891891893,0.02717391304347826,0.020833333333333332,184.0
Port Scan,0.0,0.0,0.0,175.0
Reconnaissance,0.0,0.0,0.0,195.0
Shellcode,0.0,0.0,0.0,208.0
Syn,0.14634146341463414,0.18848167539267016,0.16475972540045766,191.0
TFTP,0.0,0.0,0.0,194.0
UDP,0.0,0.0,0.0,221.0
UDP-lag,0.0,0.0,0.0,199.0
Web Attack,0.0,0.0,0.0,214.0
accuracy,0.022962962962962963,0.022962962962962963,0.022962962962962963,0.022962962962962963
macro avg,0.028889867816364538,0.023503129192678055,0.018108629486730206,5400.0
weighted avg,0.02936593543350444,0.022962962962962963,0.01791277984502076,5400.0
