,precision,recall,f1-score,support
BENIGN,0.03800475059382423,0.9552238805970149,0.07310108509423187,201.0
Bot,0.0,0.0,0.0,190.0
Brute Force,0.0,0.0,0.0,195.0
DDoS,0.0,0.0,0.0,196.0
DoS,0.2033898305084746,0.06282722513089005,0.096,191.0
DrDoS_DNS,0.0,0.0,0.0,165.0
DrDoS_LDAP,0.0,0.0,0.0,198.0
DrDoS_MSSQL,0.0,0.0,0.0,208.0
DrDoS_NTP,0.0,0.0,0.0,207.0
DrDoS_NetBIOS,0.0,0.0,0.0,210.0
DrDoS_SNMP,0.0,0.0,0.0,207.0
DrDoS_SSDP,0.0,0.0,0.0,196.0
DrDoS_UDP,0.0,0.0,0.0,245.0
Exploits,0.0,0.0,0.0,214.0
Fuzzers,0.0,0.0,0.0,206.0
Generic,1.0,0.03125,0.06060606060606061,192.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,193.0
MSSQL,0.0,0.0,0.0,213.0
NetBIOS,0.0,0.0,0.0,187.0
Port Scan,0.0,0.0,0.0,167.0
Reconnaissance,0.0,0.0,0.0,199.0
Shellcode,0.0,0.0,0.0,200.0
Syn,0.0,0.0,0.0,200.0
TFTP,0.0,0.0,0.0,195.0
UDP,0.0,0.0,0.0,210.0
UDP-lag,0.0,0.0,0.0,224.0
Web Attack,0.0,0.0,0.0,191.0
accuracy,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889
macro avg,0.044335520753653525,0.037475039490282316,0.008203826632153303,5400.0
weighted avg,0.04416415046231062,0.03888888888888889,0.008271422544500785,5400.0
