,precision,recall,f1-score,support
BENIGN,0.1986754966887417,0.14563106796116504,0.16806722689075632,206.0
Bot,0.0,0.0,0.0,179.0
Brute Force,0.0,0.0,0.0,195.0
DDoS,0.0,0.0,0.0,214.0
DoS,0.0,0.0,0.0,213.0
DrDoS_DNS,0.0,0.0,0.0,189.0
DrDoS_LDAP,0.0,0.0,0.0,172.0
DrDoS_MSSQL,0.0,0.0,0.0,202.0
DrDoS_NTP,0.0,0.0,0.0,191.0
DrDoS_NetBIOS,0.003115264797507788,0.0044444444444444444,0.003663003663003663,225.0
DrDoS_SNMP,0.0,0.0,0.0,199.0
DrDoS_SSDP,0.2037037037037037,0.05851063829787234,0.09090909090909091,188.0
DrDoS_UDP,0.0,0.0,0.0,228.0
Exploits,0.0,0.0,0.0,203.0
Fuzzers,0.0,0.0,0.0,208.0
Generic,0.0,0.0,0.0,180.0
LDAP,0.023255813953488372,0.005,0.00823045267489712,200.0
MSSQL,0.35398230088495575,0.18433179723502305,0.24242424242424243,217.0
NetBIOS,0.0,0.0,0.0,200.0
Port Scan,0.0,0.0,0.0,203.0
Reconnaissance,0.0,0.0,0.0,172.0
Shellcode,0.0,0.0,0.0,222.0
Syn,0.19478527607361965,0.6018957345971564,0.2943221320973349,211.0
TFTP,0.13559322033898305,0.9795918367346939,0.23821339950372208,196.0
UDP,0.0,0.0,0.0,208.0
UDP-lag,0.0,0.0,0.0,199.0
Web Attack,0.0,0.0,0.0,180.0
accuracy,0.07444444444444444,0.07444444444444444,0.07444444444444444,0.07444444444444444
macro avg,0.04122633616448148,0.07331131552853168,0.038734427709742496,5400.0
weighted avg,0.04241956846561552,0.07444444444444444,0.03992238536497925,5400.0
