,precision,recall,f1-score,support
BENIGN,0.047619047619047616,0.4114583333333333,0.08535926526202053,192.0
Bot,0.0,0.0,0.0,191.0
Brute Force,0.0,0.0,0.0,203.0
DDoS,0.0,0.0,0.0,205.0
DoS,0.01775147928994083,0.04035874439461883,0.024657534246575342,223.0
DrDoS_DNS,0.060897435897435896,0.08482142857142858,0.0708955223880597,224.0
DrDoS_LDAP,0.0,0.0,0.0,198.0
DrDoS_MSSQL,0.33753148614609574,0.6442307692307693,0.44297520661157025,208.0
DrDoS_NTP,0.018633540372670808,0.13106796116504854,0.03262839879154079,206.0
DrDoS_NetBIOS,0.059574468085106386,0.0707070707070707,0.06466512702078522,198.0
DrDoS_SNMP,0.0,0.0,0.0,191.0
DrDoS_SSDP,0.0,0.0,0.0,215.0
DrDoS_UDP,0.0,0.0,0.0,193.0
Exploits,0.0,0.0,0.0,192.0
Fuzzers,0.0,0.0,0.0,191.0
Generic,0.0,0.0,0.0,189.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,211.0
MSSQL,0.0,0.0,0.0,177.0
NetBIOS,0.0,0.0,0.0,193.0
Port Scan,0.0,0.0,0.0,211.0
Reconnaissance,0.0,0.0,0.0,189.0
Shellcode,0.0,0.0,0.0,185.0
Syn,0.1267605633802817,0.04568527918781726,0.06716417910447761,197.0
TFTP,0.0,0.0,0.0,213.0
UDP,0.0,0.0,0.0,211.0
UDP-lag,0.0,0.0,0.0,196.0
Web Attack,0.0,0.0,0.0,198.0
accuracy,0.05388888888888889,0.05388888888888889,0.05388888888888889,0.05388888888888889
macro avg,0.02388457217109211,0.05101177094964594,0.028155186908036763,5400.0
weighted avg,0.02547316606804893,0.05388888888888889,0.030122877341144667,5400.0
