,precision,recall,f1-score,support
BENIGN,0.037206526064464784,0.958974358974359,0.07163378663091362,195.0
Bot,0.0,0.0,0.0,211.0
Brute Force,0.0,0.0,0.0,197.0
DDoS,0.0,0.0,0.0,194.0
DoS,0.37012987012987014,0.26146788990825687,0.3064516129032258,218.0
DrDoS_DNS,0.0,0.0,0.0,182.0
DrDoS_LDAP,0.0,0.0,0.0,201.0
DrDoS_MSSQL,0.0,0.0,0.0,187.0
DrDoS_NTP,0.0,0.0,0.0,214.0
DrDoS_NetBIOS,0.0,0.0,0.0,177.0
DrDoS_SNMP,0.0,0.0,0.0,222.0
DrDoS_SSDP,0.0,0.0,0.0,199.0
DrDoS_UDP,0.0,0.0,0.0,223.0
Exploits,0.0,0.0,0.0,193.0
Fuzzers,0.0,0.0,0.0,201.0
Generic,0.0,0.0,0.0,209.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,165.0
MSSQL,0.0,0.0,0.0,222.0
NetBIOS,0.0,0.0,0.0,189.0
Port Scan,0.0,0.0,0.0,201.0
Reconnaissance,0.0,0.0,0.0,229.0
Shellcode,0.0,0.0,0.0,208.0
Syn,0.0,0.0,0.0,195.0
TFTP,0.0,0.0,0.0,185.0
UDP,0.0,0.0,0.0,196.0
UDP-lag,0.0,0.0,0.0,199.0
Web Attack,0.0,0.0,0.0,188.0
accuracy,0.04518518518518518,0.04518518518518518,0.04518518518518518,0.04518518518518518
macro avg,0.014547728435511961,0.04358722317437914,0.013503049983362122,5400.0
weighted avg,0.016285848939052282,0.04518518518518518,0.014958340741839146,5400.0
