,precision,recall,f1-score,support
BENIGN,0.9536082474226805,0.9158415841584159,0.9343434343434344,202.0
Bot,0.9861751152073732,0.9727272727272728,0.9794050343249427,220.0
Brute Force,0.958139534883721,0.9856459330143541,0.9716981132075472,209.0
DDoS,0.9,0.994475138121547,0.9448818897637795,181.0
DoS,0.941747572815534,0.9326923076923077,0.9371980676328503,208.0
DrDoS_DNS,0.9661016949152542,0.8142857142857143,0.8837209302325582,210.0
DrDoS_LDAP,0.8894230769230769,0.9390862944162437,0.9135802469135802,197.0
DrDoS_MSSQL,0.8333333333333334,0.9239130434782609,0.8762886597938144,184.0
DrDoS_NTP,0.9891891891891892,0.9682539682539683,0.9786096256684492,189.0
DrDoS_NetBIOS,0.9282051282051282,0.905,0.9164556962025316,200.0
DrDoS_SNMP,0.9603960396039604,0.9748743718592965,0.9675810473815462,199.0
DrDoS_SSDP,0.975,0.975,0.975,200.0
DrDoS_UDP,1.0,0.983957219251337,0.9919137466307277,187.0
Exploits,0.9132653061224489,0.8994974874371859,0.9063291139240506,199.0
Fuzzers,0.9554455445544554,0.910377358490566,0.9323671497584541,212.0
Generic,0.8817204301075269,0.8677248677248677,0.8746666666666667,189.0
LDAP,0.9406392694063926,0.976303317535545,0.958139534883721,211.0
MSSQL,0.9414893617021277,0.921875,0.9315789473684211,192.0
NetBIOS,0.9742268041237113,0.9692307692307692,0.9717223650385605,195.0
Port Scan,0.9901477832512315,0.995049504950495,0.9925925925925926,202.0
Reconnaissance,1.0,0.9896907216494846,0.9948186528497409,194.0
Shellcode,0.9852941176470589,1.0,0.9925925925925926,201.0
Syn,0.8731707317073171,0.895,0.8839506172839506,200.0
TFTP,0.9955555555555555,0.9824561403508771,0.9889624724061811,228.0
UDP,0.9725274725274725,0.9888268156424581,0.9806094182825484,179.0
UDP-lag,0.8862559241706162,0.9303482587064676,0.9077669902912622,201.0
Web Attack,1.0,0.976303317535545,0.988009592326139,211.0
accuracy,0.9475925925925925,0.9475925925925925,0.9475925925925925,0.9475925925925925
macro avg,0.9478169345694505,0.9477198669078881,0.9472141925318757,5400.0
weighted avg,0.9486701486893055,0.9475925925925925,0.9475785459055751,5400.0
