,precision,recall,f1-score,support
BENIGN,0.03788027477919529,0.965,0.0728989612842304,200.0
Bot,0.0,0.0,0.0,209.0
Brute Force,0.0,0.0,0.0,207.0
DDoS,0.12121212121212122,0.09433962264150944,0.10610079575596817,212.0
DoS,0.4673913043478261,0.20673076923076922,0.2866666666666667,208.0
DrDoS_DNS,0.0,0.0,0.0,211.0
DrDoS_LDAP,0.0,0.0,0.0,205.0
DrDoS_MSSQL,0.0,0.0,0.0,183.0
DrDoS_NTP,0.0,0.0,0.0,177.0
DrDoS_NetBIOS,0.0,0.0,0.0,215.0
DrDoS_SNMP,0.0,0.0,0.0,214.0
DrDoS_SSDP,0.0,0.0,0.0,187.0
DrDoS_UDP,0.0,0.0,0.0,205.0
Exploits,0.0,0.0,0.0,219.0
Fuzzers,0.0,0.0,0.0,198.0
Generic,0.5,0.021164021164021163,0.04060913705583756,189.0
LDAP,0.0,0.0,0.0,220.0
MSSQL,0.0,0.0,0.0,191.0
NetBIOS,0.0,0.0,0.0,181.0
Port Scan,0.0,0.0,0.0,196.0
Reconnaissance,0.0,0.0,0.0,198.0
Shellcode,0.0,0.0,0.0,181.0
Syn,0.0,0.0,0.0,185.0
TFTP,0.0,0.0,0.0,203.0
UDP,0.0,0.0,0.0,200.0
UDP-lag,0.0,0.0,0.0,201.0
Web Attack,0.0,0.0,0.0,205.0
accuracy,0.04814814814814815,0.04814814814814815,0.04814814814814815,0.04814814814814815
macro avg,0.041721618531079356,0.047675348630974064,0.01875094669491492,5400.0
weighted avg,0.04166489184391789,0.04814814814814815,0.01932869528283913,5400.0
