,precision,recall,f1-score,support
BENIGN,0.03101407875943685,0.7562189054726368,0.05958447667581341,201.0
Bot,0.0,0.0,0.0,217.0
Brute Force,0.023809523809523808,0.005405405405405406,0.00881057268722467,185.0
DDoS,0.00909090909090909,0.005649717514124294,0.006968641114982578,177.0
DoS,0.29583333333333334,0.35148514851485146,0.3212669683257919,202.0
DrDoS_DNS,0.0,0.0,0.0,204.0
DrDoS_LDAP,0.0,0.0,0.0,200.0
DrDoS_MSSQL,0.0,0.0,0.0,218.0
DrDoS_NTP,0.0,0.0,0.0,217.0
DrDoS_NetBIOS,0.0,0.0,0.0,207.0
DrDoS_SNMP,0.0,0.0,0.0,209.0
DrDoS_SSDP,0.0,0.0,0.0,209.0
DrDoS_UDP,0.0,0.0,0.0,210.0
Exploits,0.0,0.0,0.0,187.0
Fuzzers,0.0,0.0,0.0,201.0
Generic,0.0,0.0,0.0,196.0
LDAP,0.0,0.0,0.0,208.0
MSSQL,0.0,0.0,0.0,184.0
NetBIOS,0.0,0.0,0.0,187.0
Port Scan,0.0,0.0,0.0,207.0
Reconnaissance,0.0,0.0,0.0,197.0
Shellcode,0.0,0.0,0.0,204.0
Syn,0.0,0.0,0.0,200.0
TFTP,0.0,0.0,0.0,200.0
UDP,0.0,0.0,0.0,177.0
UDP-lag,0.0,0.0,0.0,204.0
Web Attack,0.0,0.0,0.0,192.0
accuracy,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
macro avg,0.013323994259007522,0.041435525070630294,0.014690024400141206,5400.0
weighted avg,0.0133344474033024,0.041666666666666664,0.014765891266321655,5400.0
